produto;produto_base;produto_original;uf;estado;praca;unidade;unidade_original;preco;preco_original;preco_formatado;data_referencia;data_referencia_inicio;data_referencia_fim;periodo_referencia;fonte;fonte_url;tipo;nivel_comercializacao;categoria;observacao
Algodão;Algodão;Algodão em Pluma;BA;Bahia;Bahia - Média estadual CONAB;Arroba (@);Arroba (@);139.5;139.5;R$ 139,50/Arroba (@);2026-05-15;2026-05-11;2026-05-15;11/05/2026 a 15/05/2026;CONAB - Produtos 360º;https://portaldeinformacoes.conab.gov.br/produtos-360.html;oficial;Produtor;commodity_agricola;Algodão coletado do CONAB Produtos 360º. Fonte principal para Soja, Milho e Algodão. Histórico de 30 dias montado pela CONAB Semanal UF para cálculo de variação.
Algodão;Algodão;Algodão em Pluma;MA;Maranhão;Maranhão - Média estadual CONAB;Arroba (@);Arroba (@);139.9;139.9;R$ 139,90/Arroba (@);2026-05-15;2026-05-11;2026-05-15;11/05/2026 a 15/05/2026;CONAB - Produtos 360º;https://portaldeinformacoes.conab.gov.br/produtos-360.html;oficial;Produtor;commodity_agricola;Algodão coletado do CONAB Produtos 360º. Fonte principal para Soja, Milho e Algodão. Histórico de 30 dias montado pela CONAB Semanal UF para cálculo de variação.
Algodão;Algodão;Algodão em Pluma;TO;Tocantins;Tocantins - Média estadual CONAB;Arroba (@);Arroba (@);115.0;115.0;R$ 115,00/Arroba (@);2026-05-15;2026-05-11;2026-05-15;11/05/2026 a 15/05/2026;CONAB - Produtos 360º;https://portaldeinformacoes.conab.gov.br/produtos-360.html;oficial;Produtor;commodity_agricola;Algodão coletado do CONAB Produtos 360º. Fonte principal para Soja, Milho e Algodão. Histórico de 30 dias montado pela CONAB Semanal UF para cálculo de variação.
Arroz — Produtor;Arroz;ARROZ;AL;Alagoas;Média UF;Saca 60 kg;Kg;77.4;1.29;R$ 77,40/Saca 60 kg;2026-05-08;2026-05-04;2026-05-08;04/05/2026 a 08/05/2026;CONAB - Preços Agropecuários Semanal UF;https://portaldeinformacoes.conab.gov.br/downloads/arquivos/PrecosSemanalUF.txt;oficial;Produtor;commodity_agricola;Fallback CONAB Semanal usado porque o SIAGRO não retornou dado válido para este produto.
Arroz — Produtor;Arroz;ARROZ;CE;Ceará;Média UF;Saca 60 kg;Kg;72.0;1.2;R$ 72,00/Saca 60 kg;2026-05-08;2026-05-04;2026-05-08;04/05/2026 a 08/05/2026;CONAB - Preços Agropecuários Semanal UF;https://portaldeinformacoes.conab.gov.br/downloads/arquivos/PrecosSemanalUF.txt;oficial;Produtor;commodity_agricola;Fallback CONAB Semanal usado porque o SIAGRO não retornou dado válido para este produto.
Arroz — Produtor;Arroz;ARROZ;MA;Maranhão;Média UF;Saca 60 kg;Kg;82.2;1.37;R$ 82,20/Saca 60 kg;2026-05-08;2026-05-04;2026-05-08;04/05/2026 a 08/05/2026;CONAB - Preços Agropecuários Semanal UF;https://portaldeinformacoes.conab.gov.br/downloads/arquivos/PrecosSemanalUF.txt;oficial;Produtor;commodity_agricola;Fallback CONAB Semanal usado porque o SIAGRO não retornou dado válido para este produto.
Arroz — Produtor;Arroz;ARROZ;PA;Pará;Média UF;Saca 60 kg;Kg;112.2;1.87;R$ 112,20/Saca 60 kg;2026-05-08;2026-05-04;2026-05-08;04/05/2026 a 08/05/2026;CONAB - Preços Agropecuários Semanal UF;https://portaldeinformacoes.conab.gov.br/downloads/arquivos/PrecosSemanalUF.txt;oficial;Produtor;commodity_agricola;Fallback CONAB Semanal usado porque o SIAGRO não retornou dado válido para este produto.
Arroz — Produtor;Arroz;ARROZ;PB;Paraíba;Média UF;Saca 60 kg;Kg;46.8;0.78;R$ 46,80/Saca 60 kg;2026-04-24;2026-04-20;2026-04-24;20/04/2026 a 24/04/2026;CONAB - Preços Agropecuários Semanal UF;https://portaldeinformacoes.conab.gov.br/downloads/arquivos/PrecosSemanalUF.txt;oficial;Produtor;commodity_agricola;Fallback CONAB Semanal usado porque o SIAGRO não retornou dado válido para este produto.
Arroz — Produtor;Arroz;ARROZ;PI;Piauí;Média UF;Saca 60 kg;Kg;75.6;1.26;R$ 75,60/Saca 60 kg;2026-05-08;2026-05-04;2026-05-08;04/05/2026 a 08/05/2026;CONAB - Preços Agropecuários Semanal UF;https://portaldeinformacoes.conab.gov.br/downloads/arquivos/PrecosSemanalUF.txt;oficial;Produtor;commodity_agricola;Fallback CONAB Semanal usado porque o SIAGRO não retornou dado válido para este produto.
Arroz — Produtor;Arroz;ARROZ;RN;Rio Grande do Norte;Média UF;Saca 60 kg;Kg;107.4;1.79;R$ 107,40/Saca 60 kg;2026-05-01;2026-04-27;2026-05-01;27/04/2026 a 01/05/2026;CONAB - Preços Agropecuários Semanal UF;https://portaldeinformacoes.conab.gov.br/downloads/arquivos/PrecosSemanalUF.txt;oficial;Produtor;commodity_agricola;Fallback CONAB Semanal usado porque o SIAGRO não retornou dado válido para este produto.
